ID;Title;URL;Actual Price;Old Price;Base Price;Courier Price;Subscribe Price;Single Item Pack Discount Price;Whole Pack Discount Price;Whole Pack Without Discount Price;Brand
117425;Adult Grain Free Сухой корм беззерновой для взрослых собак, с ягненком, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-yagnenkom-14-kg.html;2729;0;0;0;0;0;0;0;Ownat
155309;Grain Free Hypoallergenic Корм сухой гипоаллергенный для собак с лососем, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gf-hypo-korm-suhoy-gipoallergennyy-dlya-sobak-s-lososem-3-kg.html;4329;0;0;0;0;0;0;0;Ownat
151181;Mini Grain Free Сухой корм беззерновой для собак мелких пород, с ягненком, 400 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/prime-korm-dlya-sobak-melkih-porod-bezzernovoy-s-yagnenkom.html;695;0;0;0;0;0;0;0;Ownat
112537;Сухой корм для взрослых собак мелких пород, ягненок с индейкой, 1 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-yagnenok-s-risom-1kg.html;1599;0;0;0;0;0;0;0;Grandorf
135841;Hypoallergenic Гипоаллергенный сухой корм для собак всех пород, ягненок, 2,7 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/gipoallergennyy-suhoy-korm-dlya-sobak-vseh-porod-yagnenok-11-2kg.html;4299;0;0;0;0;0;0;0;Grandin
112549;Сухой корм для взрослых собак мелких пород, четыре вида мяса, 1 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-melkih-porod-chetyre-vida-myasa-s-burym-risom-1kg.html;1735;0;0;0;0;0;0;0;Grandorf
112546;Сухой корм для взрослых собак средних и крупных пород, кролик с индейкой, 1 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/suhoy-korm-grandorf-dlya-vzroslyh-sobak-vseh-porod-krolik-s-kartofelem-1kg.html;1735;0;0;0;0;0;0;0;Grandorf
42416;Mini Puppy Сухой корм для щенков мелких пород в возрасте от 2 до 10 месяцев, 800 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Junior_33_suhoy_korm_dlya_shchenkov_melkih_porod.html;785;0;0;0;0;0;0;0;Royal Canin
140361;Adult Classic Сухой корм для собак, с уткой, 4 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-classic-korm-sukhoy-dlya-sobak-s-utkoy.html;2379;0;0;0;0;0;0;0;Ownat
42418;Mini Adult Сухой корм для взрослых собак мелких размеров в возрасте от 10 месяцев до 8 лет, 800 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Mini_Adult_27_suhoy_korm_dlya_sobak_melkih_porodr.html;675;0;0;0;0;0;0;0;Royal Canin
124638;Adult Grain Free Сухой корм для взрослых собак, с уткой, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/ownat-gf-just-korm-suhoy-dlya-vzroslyh-sobak-s-utkoy-14-kg.html;2859;0;0;0;0;0;0;0;Ownat
48996;Sensitive Digestion Сухой корм для взрослых собак для мелких и карликовых пород с чувствительным пищеварением, с высоким содержанием ягненка, 700 гр.;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Pro_Plan_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_s_chuvstvit_pishchevaren_yagnenokg.html;679;0;0;0;0;0;0;0;PRO PLAN®
163800;Сухой корм полнорационный для взрослых собак всех пород с чувствительным пищеварением, индейка и рис, 3 кг;https://old.4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/korm-suhoy-polnoracionnyy-dlya-vzroslyh-sobak-vseh-porod-s-chuvstvitelnym-pishchevareniem-indeyka-i-ris-3-kg1.html;1699;0;0;0;0;0;0;0;Aвва
